Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
-1,mzspec:MSV000083010:G72739_10x_BB2_01_17894.mzML:scan:212,1,0.95,4,MSV000083010,NoID
-0.99,mzspec:MSV000082074:G75655_5x_rerun_BH5_01_19405.mzML:scan:216,1,0.95,4,MSV000082074,NoID
-1,mzspec:MSV000082423:G96353_5x_RA8_01_32590.mzML:scan:259,1,0.95,4,MSV000082423,NoID
-1,mzspec:MSV000082074:G72501_BC3_01_18940.mzML:scan:196,1,0.95,4,MSV000082074,NoID
-1,mzspec:MSV000083010:G86812_1x_rerun_RB5_01_23319.mzML:scan:225,1,0.95,4,MSV000083010,NoID
0,mzspec:MSV000082969:G84764_BD3_01_36707.mzML:scan:890,1,0.95,4,MSV000082969,NoID
-1,mzspec:MSV000084900:G79580_5x_RE7_01_17965.mzML:scan:208,1,0.95,4,MSV000084900,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H9_P2-H-9_01_31776.mzML:scan:168,1,0.95,4,MSV000082481,NoID
0,mzspec:MSV000082969:G84871_BG9_01_36650.mzML:scan:886,1,0.95,4,MSV000082969,NoID
-1,mzspec:MSV000083010:G79576_5x_RC2_01_18075.mzML:scan:218,1,0.95,4,MSV000083010,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G5_P1-G-5_01_31759.mzML:scan:167,1,0.95,4,MSV000082481,NoID
0,mzspec:MSV000082969:G85346_BG11_01_37180.mzML:scan:855,1,0.95,4,MSV000082969,NoID
-1,mzspec:MSV000083010:G79580_5x_RE7_01_17965.mzML:scan:208,1,0.95,4,MSV000083010,NoID
-1,mzspec:MSV000083010:G79205_p19_g3_rerun_GB6_01_21715.mzML:scan:281,1,0.95,4,MSV000083010,NoID
0,mzspec:MSV000082074:G86807_1x_BF8_01_23204.mzML:scan:971,1,0.95,4,MSV000082074,NoID
-1,mzspec:MSV000084900:G79623_5x_RA6_01_18056.mzML:scan:212,1,0.95,4,MSV000084900,NoID
0,mzspec:MSV000082969:G85395_RB6_01_37018.mzML:scan:858,1,0.95,4,MSV000082969,NoID
-1,mzspec:MSV000082074:G86917_1x_BG3_01_26633.mzML:scan:215,1,0.95,4,MSV000082074,NoID
0,mzspec:MSV000082969:G85012_BF3_01_37162.mzML:scan:846,1,0.95,4,MSV000082969,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_F7_P2-F-7_01_31722.mzML:scan:149,1,0.95,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C12_P2-C-12_01_31648.mzML:scan:146,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G79623_5x_RA6_01_18056.mzML:scan:212,1,0.95,4,MSV000083010,NoID
-0.99,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_H11_P1-H-11_01_28876.mzML:scan:130,1,0.95,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_E4_P1-E-4_01_31705.mzML:scan:148,1,0.95,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_3Crt_HenTrial1_F2_P1-F-2_01_28359.mzML:scan:126,1,0.95,4,MSV000082481,NoID
-1,mzspec:MSV000083010:G86917_1x_BG3_01_26633.mzML:scan:215,1,0.95,4,MSV000083010,NoID
0,mzspec:MSV000083689:G85188_BG5_01_35794.mzML:scan:986,1,0.95,4,MSV000083689,NoID
